  SN    Year MoDaHrMnSecs    Lat      Lon    Dep    MMf  sd2   n2  nMw  
378015. 2020 0321004951.81  39.2870  20.5910  15    5.7 0.072   7   6   
378706. 2020 0411102254.38  34.9930  26.1570  38    5.0 0.063  10   3   
379392. 2020 0502125106.07  34.2110  25.7570  14    6.6 0.068   7   8   
379393. 2020 0502125753.54  34.0574  25.7702   0    5.1 0.250   1   0   
379405. 2020 0502133350.52  34.1410  25.5710  15    5.4 0.083   6   2   
379432. 2020 0502164426.98  34.1190  25.6530  14    5.3 0.063  10   4   
380102. 2020 0518041819.10  34.1900  25.6350  15    5.2 0.066   9   3   
380149. 2020 0518232235.76  34.1690  25.5940  16    5.8 0.068   8   5   
380328. 2020 0520234316.23  35.1080  20.2860  13    5.7 0.068   8   4   
380381. 2020 0522034030.20  34.3850  25.8850  15    5.0 0.067   9   2   
380453. 2020 0523225012.48  34.2260  25.5790  16    5.3 0.063  10   3   
380662. 2020 0527010954.03  34.1610  25.6920  18    5.1 0.066   9   2   
381203. 2020 0603090330.82  34.3500  25.9080  21    5.4 0.079   6   1   
382089. 2020 0619074321.63  34.2560  25.5520  17    5.1 0.063  10   3   
382340. 2020 0626072112.93  38.7650  27.8490  15    5.2 0.070   8   7   
385316. 2020 0926225025.68  39.9430  24.3760  15    5.3 0.060  11   7   
385792. 2020 1012003040.95  35.5480  26.2960  18    5.1 0.063  10   4   
385832. 2020 1012041128.94  35.5810  26.2340  18    5.2 0.063  10   5   
386226. 2020 1021230055.66  37.1910  20.5130  20    5.2 0.074   7   4   
386457. 2020 1030115127.49  37.8530  26.7790  20    7.0 0.073   6   7   
386458. 2020 1030115353.48  37.9081  26.8034   3    5.0 0.225   2   0   
386620. 2020 1030151457.67  37.8210  26.8890  15    5.3 0.063  10   4   
387114. 2020 1031053131.14  37.7850  26.8200  11    5.0 0.064  10   5   
389380. 2020 1111035416.01  41.6290  20.8410  16    5.1 0.062  11   4   
389441. 2020 1111142514.36  41.6230  20.7170  13    5.0 0.063  11   3   
392424. 2021 0112220956.73  38.3560  22.0580   7    5.2 0.069   8   5   
393381. 2021 0201083518.69  38.9380  26.1070  16    5.1 0.063  10   5   
394213. 2021 0217033607.50  38.3160  21.9760  11    5.5 0.069   8   5   
394732. 2021 0303101610.42  39.7310  22.2180   9    6.3 0.064   8   8   
394742. 2021 0303103409.32  39.6920  22.2710  15    5.0 0.075   7   2   
394774. 2021 0303113558.24  39.6660  22.2670  15    5.0 0.067   9   4   
394779. 2021 0303114546.90  39.6800  22.2490  14    5.3 0.069   8   5   
394927. 2021 0303182408.63  39.7170  22.1030  13    5.1 0.072   7   5   
395221. 2021 0304183819.73  39.7780  22.1660  10    6.1 0.069   8   3   
395237. 2021 0304192352.30  39.7950  21.9700  15    5.2 0.077   7   1   
396146. 2021 0312125751.75  39.7900  22.0420  13    5.6 0.066   9   5   
397847. 2021 0413202804.12  36.4060  27.1630  12    5.3 0.067   9   7   
398175. 2021 0417170802.19  36.3600  27.1740  15    5.0 0.063  10   6   
401036. 2021 0621221415.49  36.3340  27.1200  19    5.6 0.070   8   6   
403545. 2021 0801043128.01  36.3670  27.0790  18    5.6 0.063  10   7   
404140. 2021 0803123818.44  36.3150  27.1090  12    5.2 0.070   8   5   
404599. 2021 0807013945.55  36.2220  27.1190  15    5.0 0.065   9   4   
405684. 2021 0831110426.24  39.0023  30.2035   6    5.1 0.073   7   6   
406921. 2021 0927061722.55  35.1920  25.2570  15    6.0 0.063   9   7   
407158. 2021 0928044809.57  35.1280  25.2240  13    5.3 0.063  10   7   
408299. 2021 1012092406.04  35.0440  26.3070  30    6.4 0.065   8   7   
408699. 2021 1019053232.70  34.6180  28.3250  44    5.9 0.068  11   6   
409891. 2021 1108174321.99  37.8740  32.1151  11    5.2 0.073   7   5   
410627. 2021 1130040040.34  37.6410  26.0240  10    5.1 0.067   9   6   
411579. 2021 1226151511.92  35.0610  26.8850  14    5.2 0.064  10   6   
411590. 2021 1226185903.62  35.0880  26.9260  12    5.6 0.063  10   6   
412099. 2022 0109214348.62  40.7817  21.3949  21    5.5 0.061  11   5   
412594. 2022 0116114806.15  39.9846  24.3141  11    5.4 0.060  11   7   
415963. 2022 0422210749.20  43.0641  18.1847  17    5.7 0.071   8   4   
419373. 2022 0812213151.51  33.6441  19.0079  19    5.2 0.074   7   4   
419862. 2022 0831101011.55  37.5643  26.8349  12    5.3 0.067   9   7   
420080. 2022 0903041311.26  35.0103  26.4165  12    5.3 0.067   9   5   
420237. 2022 0908073625.64  37.9864  20.1518  20    5.5 0.070   8   5   
420977. 2022 1002040402.46  34.3730  26.2435  16    5.3 0.063  10   5   
421187. 2022 1008220228.66  38.3145  22.5297  18    5.2 0.066   9   4   
422605. 2022 1129200639.50  38.2566  24.2502   4    5.0 0.064  10   5   
423983. 2023 0107015259.67  39.3608  26.2472  20    5.0 0.067   9   7   
424257. 2023 0110073830.95  39.3721  26.2535   8    5.0 0.067   9   7   
425046. 2023 0123103753.44  35.0308  14.1780  12    5.1 0.081   6   3   
425105. 2023 0124202536.42  34.9144  14.3378  16    5.2 0.081   6   3   
425129. 2023 0125123706.58  35.7995  28.5630  39    5.9 0.070   8   7   
425305. 2023 0130195526.07  34.9386  14.2727  10    5.3 0.081   6   3   
