SS ID,Strike,Dip Direction,Dip,Rake,Length (km),Width (km),Min Depth (km),Max Depth (km),Rupture Area,Average slip (m),Mw (W&C94),Mw (K&A),M0 (Nm),LonA,LatA,LonB,LatB,Lon1,Lat1,Lon2,Lat2,Lon3,Lat3,Lon4,Lat4,Slip rate
43.0,281.0,11.0,45.0,280.0,38.0,19.0,0.0,13.4,722.0,1.07,6.8,6.8,2.31e+19,22.4711,38.8524,22.0401,38.9176,22.4711,38.8524,22.0401,38.9176,22.0696,39.0362,22.5009,38.971,
44.0,281.0,11.0,45.0,280.0,49.5,23.0,0.0,16.3,1138.5,1.36,7.0,7.0,4.64e+19,23.0643,38.7255,22.5039,38.8105,23.0643,38.7255,22.5039,38.8105,22.5394,38.954,23.1004,38.8691,
45.0,295.0,25.0,45.0,280.0,38.0,19.0,0.0,13.4,722.0,1.07,6.8,6.8,2.31e+19,23.3011,38.5506,22.9047,38.6951,23.3011,38.5506,22.9047,38.6951,22.97,38.8046,23.3666,38.6601,
46.0,306.0,36.0,50.0,295.0,27.0,15.0,0.0,11.5,405.0,0.78,6.6,6.6,9.54e+18,23.5536,38.4169,23.3026,38.5597,23.5536,38.4169,23.3026,38.5597,23.3677,38.6298,23.6187,38.4871,
47.0,287.0,17.0,50.0,280.0,30.0,16.0,0.0,12.3,480.0,0.86,6.7,6.7,1.24e+19,23.9474,38.2875,23.6186,38.3663,23.9474,38.2875,23.6186,38.3663,23.653,38.4548,23.982,38.3759,
49.0,275.0,5.0,50.0,270.0,35.0,18.0,0.0,13.8,630.0,0.99,6.8,6.8,1.87e+19,24.1783,38.6839,23.7765,38.7114,24.1783,38.6839,23.7765,38.7114,23.788,38.815,24.19,38.7876,
55.0,313.0,43.0,44.0,304.0,24.0,14.0,0.0,9.7,336.0,0.53,6.5,6.4,5.34e+18,24.7424,38.9508,24.5392,39.098,24.7424,38.9508,24.5392,39.098,24.6187,39.1642,24.8219,39.017,
56.0,83.0,173.0,55.0,260.0,49.0,23.0,0.0,18.8,1127.0,1.35,7.0,7.0,4.57e+19,24.5953,39.2225,25.1601,39.2763,24.5953,39.2225,25.1601,39.2763,25.1785,39.1585,24.6141,39.1048,
59.0,116.0,206.0,42.0,285.0,35.0,18.0,0.0,12.0,630.0,0.99,6.8,6.8,1.87e+19,26.1504,39.0114,26.5141,38.8734,26.1504,39.0114,26.5141,38.8734,26.4463,38.7653,26.0827,38.9033,
61.0,264.0,354.0,50.0,260.0,40.5,20.0,0.0,15.3,810.0,1.13,6.9,6.9,2.75e+19,26.2983,38.6617,25.8345,38.6237,26.2983,38.6617,25.8345,38.6237,25.8189,38.7386,26.283,38.7767,
62.0,132.0,222.0,55.0,300.0,43.5,21.0,0.0,17.2,913.5,1.16,6.9,7.0,3.5e+19,25.667,38.3414,26.037,38.0796,25.667,38.3414,26.037,38.0796,25.9448,37.9991,25.5749,38.2609,
63.0,92.0,182.0,50.0,265.0,29.5,16.0,0.0,12.3,472.0,0.77,6.7,6.7,1.2e+19,26.0414,38.0891,26.3783,38.0799,26.0414,38.0891,26.3783,38.0799,26.3741,37.9874,26.0374,37.9967,
64.0,272.0,2.0,48.0,267.0,40.5,20.0,0.0,14.9,810.0,1.03,6.9,6.9,2.75e+19,27.1188,37.805,26.6581,37.8177,27.1188,37.805,26.6581,37.8177,26.6632,37.938,27.1243,37.9253,
65.0,96.0,186.0,45.0,270.0,32.0,17.0,0.0,12.0,544.0,0.83,6.7,6.7,1.5e+19,26.5992,37.7207,26.961,37.6906,26.5992,37.7207,26.961,37.6906,26.9466,37.5831,26.5851,37.6132,
67.0,56.0,146.0,75.0,210.0,59.0,13.5,0.0,13.0,796.5,1.21,6.9,6.9,3.18e+19,25.7988,37.3521,26.3533,37.6489,25.7988,37.3521,26.3533,37.6489,26.3754,37.6228,25.821,37.3261,
69.0,132.0,222.0,55.0,310.0,36.0,18.5,0.0,15.2,666.0,0.93,6.8,6.8,2.04e+19,24.83,37.7384,25.1338,37.5217,24.83,37.7384,25.1338,37.5217,25.0532,37.4508,24.7494,37.6675,
76.0,333.0,63.0,50.0,290.0,49.5,23.0,0.0,17.6,1138.5,1.36,7.0,7.0,4.64e+19,23.022,37.0748,22.768,37.4714,23.022,37.0748,22.768,37.4714,22.9171,37.5318,23.1708,37.1351,
77.0,341.0,71.0,50.0,280.0,31.0,16.5,0.0,12.6,511.5,0.89,6.7,6.7,1.37e+19,23.1426,36.7939,23.029,37.0575,23.1426,36.7939,23.029,37.0575,23.142,37.0886,23.2553,36.825,
78.0,342.0,72.0,50.0,280.0,35.0,18.0,0.0,13.8,630.0,0.99,6.8,6.8,1.87e+19,23.2231,36.4547,23.1019,36.7541,23.2231,36.4547,23.1019,36.7541,23.2253,36.7862,23.3463,36.4869,
79.0,320.0,50.0,50.0,300.0,36.0,18.5,0.0,14.2,666.0,1.02,6.8,6.8,2.04e+19,23.5988,36.8422,23.3384,37.0902,23.5988,36.8422,23.3384,37.0902,23.441,37.1589,23.7014,36.9109,
80.0,297.0,27.0,50.0,290.0,56.0,25.0,0.0,19.2,1400.0,1.51,7.1,7.1,6.36e+19,24.155,36.5657,23.5955,36.7943,24.155,36.5657,23.5955,36.7943,23.6772,36.9231,24.2371,36.6944,
81.0,279.0,9.0,50.0,270.0,36.0,18.5,0.0,14.2,666.0,1.02,6.8,6.8,2.04e+19,24.2422,36.814,23.8427,36.8646,24.2422,36.814,23.8427,36.8646,23.8635,36.9703,24.2633,36.9196,
82.0,77.0,167.0,50.0,250.0,46.5,22.0,0.0,16.9,1023.0,1.28,7.0,7.0,3.94e+19,24.6609,36.4881,25.168,36.5821,24.6609,36.4881,25.168,36.5821,25.2034,36.4582,24.6966,36.3641,
83.0,49.0,139.0,60.0,230.0,49.5,23.0,0.0,19.9,1138.5,1.36,7.0,7.0,4.64e+19,25.246,36.4782,25.6646,36.7702,25.246,36.4782,25.6646,36.7702,25.7491,36.6922,25.3305,36.4001,
84.0,50.0,140.0,60.0,250.0,59.0,26.0,0.0,22.5,1534.0,1.59,7.2,7.2,7.32e+19,25.6062,36.5977,26.1136,36.9387,25.6062,36.5977,26.1136,36.9387,26.2073,36.8492,25.7,36.5081,
85.0,236.0,326.0,60.0,240.0,54.0,24.5,0.0,21.2,1323.0,1.47,7.1,7.1,5.83e+19,25.9149,36.499,25.4149,36.2274,25.9149,36.499,25.4149,36.2274,25.3383,36.3188,25.8384,36.5903,
86.0,237.0,327.0,65.0,260.0,56.0,25.0,0.0,22.7,1400.0,1.51,7.1,7.1,6.34e+19,26.4386,36.7883,25.9121,36.5141,26.4386,36.7883,25.9121,36.5141,25.8475,36.5937,26.3741,36.868,
87.0,78.0,168.0,60.0,270.0,40.5,20.0,0.0,17.3,810.0,1.13,6.9,6.9,2.75e+19,26.485,36.5935,26.929,36.6693,26.485,36.5935,26.929,36.6693,26.9521,36.5813,26.5084,36.5056,
88.0,244.0,334.0,60.0,260.0,39.0,19.5,0.0,16.9,760.5,1.1,6.9,6.9,2.5e+19,27.0056,36.5526,26.6136,36.3988,27.0056,36.5526,26.6136,36.3988,26.5657,36.4776,26.9579,36.6314,
89.0,62.0,152.0,60.0,280.0,31.0,16.5,0.0,14.3,511.5,0.89,6.7,6.7,1.36312e+19,27.066,36.7235,27.3734,36.8543,27.066,36.7235,27.3734,36.8543,27.4168,36.7888,27.1095,36.6579,
90.0,265.0,355.0,43.0,258.0,27.0,15.0,4.0,14.2,405.0,0.69,6.6,6.6,9.54e+18,27.5764,36.8864,27.2739,36.8652,27.5722,36.9248,27.2697,36.9036,27.2588,37.0019,27.5616,37.0231,
91.0,141.0,231.0,50.0,260.0,37.5,19.0,0.0,14.6,712.5,1.06,6.8,6.8,2.26e+19,22.9534,36.0758,23.2155,35.8137,22.9534,36.0758,23.2155,35.8137,23.1102,35.7446,22.8479,36.0067,
92.0,330.0,60.0,50.0,270.0,46.0,22.0,0.0,16.9,1012.0,1.28,7.0,7.0,3.87e+19,23.4199,35.8169,23.1643,36.1752,23.4199,35.8169,23.1643,36.1752,23.3006,36.2388,23.556,35.8805,
93.0,143.0,233.0,50.0,260.0,32.0,17.0,0.0,13.0,544.0,0.92,6.7,6.7,1.5e+19,23.3466,36.3198,23.5612,36.0899,23.3466,36.3198,23.5612,36.0899,23.464,36.0308,23.2493,36.2606,
94.0,99.0,189.0,50.0,270.0,42.0,20.5,0.0,15.7,861.0,1.17,6.9,6.9,3.02e+19,23.5882,36.0544,24.0494,35.9953,23.5882,36.0544,24.0494,35.9953,24.0264,35.8783,23.5654,35.9373,
95.0,112.0,202.0,50.0,280.0,42.0,20.5,0.0,15.7,861.0,1.17,6.9,6.9,3.02e+19,24.4698,36.3367,24.9041,36.1953,24.4698,36.3367,24.9041,36.1953,24.849,36.0854,24.4149,36.2269,
96.0,67.0,157.0,60.0,240.0,46.5,22.0,0.0,19.1,1023.0,1.28,7.0,7.0,3.94e+19,25.1996,36.133,25.6767,36.2964,25.1996,36.133,25.6767,36.2964,25.7245,36.2053,25.2476,36.0419,
97.0,244.0,334.0,60.0,240.0,54.0,24.5,0.0,21.2,1323.0,1.47,7.1,7.1,5.83427e+19,26.4574,36.2194,25.9171,36.0066,26.4574,36.2194,25.9171,36.0066,25.8571,36.1056,26.3977,36.3185,
98.0,191.0,281.0,40.0,295.0,52.5,24.0,0.0,15.4,1260.0,1.43,7.1,7.1,5.41e+19,27.1374,36.2088,27.0261,35.7454,27.1374,36.2088,27.0261,35.7454,26.8258,35.7769,26.9365,36.2404,
99.0,240.0,330.0,42.0,308.0,39.0,19.5,0.0,13.0,760.5,1.1,6.9,6.9,2.5e+19,27.6904,36.1782,27.3145,36.0028,27.6904,36.1782,27.3145,36.0028,27.2337,36.1157,27.6098,36.291,
100.0,234.0,324.0,80.0,335.0,45.0,12.0,0.0,11.8,540.0,1.09,6.8,6.8,1.76e+19,27.0973,35.6757,26.6948,35.4379,27.0973,35.6757,26.6948,35.4379,26.6813,35.453,27.0837,35.6909,
101.0,251.0,341.0,60.0,330.0,45.0,12.0,0.0,10.4,540.0,1.09,6.8,6.8,1.76e+19,26.598,35.6559,26.1274,35.5242,26.598,35.6559,26.1274,35.5242,26.1057,35.5752,26.5764,35.7069,
102.0,266.0,356.0,55.0,270.0,32.0,17.0,0.0,13.9,544.0,0.92,6.7,6.7,1.5e+19,25.7418,35.7675,25.3881,35.7475,25.7418,35.7675,25.3881,35.7475,25.3804,35.8349,25.7344,35.855,
103.0,250.0,340.0,55.0,260.0,23.0,13.5,0.0,11.1,310.5,0.68,6.5,6.5,6.35e+18,23.5573,38.2786,23.3098,38.2078,23.5573,38.2786,23.3098,38.2078,23.2795,38.2733,23.527,38.344,
104.0,79.0,169.0,60.0,280.0,28.0,15.5,0.0,13.4,434.0,0.81,6.6,6.6,1.06e+19,22.9831,38.2658,23.298,38.3138,22.9831,38.2658,23.298,38.3138,23.3149,38.2454,23.0001,38.1974,
105.0,60.0,150.0,55.0,280.0,22.0,13.0,0.0,10.6,286.0,0.65,6.4,6.4,5.6e+18,23.044,38.1586,23.2621,38.2576,23.044,38.1586,23.2621,38.2576,23.3047,38.1995,23.0867,38.1006,
106.0,258.0,348.0,52.0,283.0,38.0,19.0,0.0,15.0,722.0,1.07,6.8,6.8,2.31e+19,23.2785,38.0875,22.854,38.0165,23.2785,38.0875,22.854,38.0165,22.826,38.1194,23.2508,38.1904,
107.0,96.0,186.0,50.0,260.0,24.0,14.0,0.0,10.7,336.0,0.71,6.5,6.5,7.17e+18,23.1293,37.9802,23.4016,37.9576,23.1293,37.9802,23.4016,37.9576,23.3908,37.8771,23.1186,37.8997,
108.0,257.0,347.0,50.0,260.0,24.0,14.0,0.0,10.7,336.0,0.71,6.5,6.5,7.16e+18,23.1029,37.8438,22.8367,37.7952,23.1029,37.8438,22.8367,37.7952,22.8136,37.8741,23.0799,37.9226,
109.0,90.0,180.0,50.0,265.0,27.0,15.0,0.0,11.5,405.0,0.78,6.6,6.6,9.54e+18,22.4059,38.4864,22.7162,38.4864,22.4059,38.4864,22.7162,38.4864,22.7161,38.3997,22.406,38.3997,
110.0,275.0,5.0,45.0,275.0,40.5,20.0,0.0,14.1,810.0,1.13,6.9,6.9,2.75e+19,22.7138,38.1231,22.2525,38.1549,22.7138,38.1231,22.2525,38.1549,22.2664,38.2816,22.7281,38.2498,
111.0,282.0,12.0,45.0,285.0,35.0,18.0,0.0,12.7,630.0,0.99,6.8,6.8,1.87e+19,22.3636,38.1628,21.9718,38.2282,22.3636,38.1628,21.9718,38.2282,22.002,38.3402,22.394,38.2747,
112.0,280.0,10.0,33.0,284.0,24.0,14.0,0.0,7.6,336.0,0.71,6.5,6.5,7.17e+18,22.2541,38.2312,21.9834,38.2686,22.2541,38.2312,21.9834,38.2686,22.0067,38.3726,22.2775,38.3351,
113.0,278.0,8.0,45.0,280.0,27.0,15.0,0.0,10.6,405.0,0.78,6.6,6.6,9.54e+18,21.6024,38.5206,21.295,38.5544,21.6024,38.5206,21.295,38.5544,21.3119,38.6489,21.6195,38.6151,
120.0,224.0,314.0,54.0,275.0,24.0,14.0,0.0,11.3,336.0,0.71,6.5,6.5,7.17e+18,20.7787,40.0746,20.5829,39.9194,20.7787,40.0746,20.5829,39.9194,20.5134,39.9708,20.7091,40.126,
125.0,84.0,174.0,89.0,330.0,33.0,10.5,0.0,10.5,346.5,0.86,6.6,6.6,8.93e+18,20.4322,39.4961,20.8148,39.5271,20.4322,39.4961,20.8148,39.5271,20.815,39.5255,20.4325,39.4945,
140.0,89.0,179.0,45.0,230.0,24.0,14.0,0.0,9.9,336.0,0.71,6.5,6.5,7.17e+18,21.2649,36.9124,21.5349,36.9162,21.2649,36.9124,21.5349,36.9162,21.5367,36.8272,21.267,36.8234,
141.0,165.0,255.0,45.0,270.0,24.0,14.0,0.0,9.9,336.0,0.71,6.5,6.5,7.17e+18,22.0065,37.2894,22.0766,37.081,22.0065,37.2894,22.0766,37.081,21.9687,37.0579,21.8985,37.2664,
142.0,197.0,287.0,45.0,283.0,27.0,15.0,0.0,10.6,405.0,0.78,6.6,6.6,9.54e+18,22.2038,37.142,22.1149,36.9098,22.2038,37.142,22.1149,36.9098,22.0007,36.9377,22.0895,37.1699,
143.0,155.0,245.0,45.0,270.0,25.5,14.5,0.0,10.3,369.8,0.75,6.5,6.5,8.3e+18,22.1232,36.8897,22.2442,36.6819,22.1232,36.8897,22.2442,36.6819,22.1399,36.6429,22.0188,36.8508,
