SN,Year,MoDaHrMnSecs,Lat,Lon,Dep,MMf,sd2,n2,nMw
000209.,1905,1008072800.00,41.8000,23.2000,19,6.2,0.105,4,0
000210.,1905,1008075600.00,42.6000,21.9000,7,4.8,0.180,1,0
000211.,1905,1017192400.00,42.8000,18.2000,0,4.6,0.180,1,0
000212.,1905,1022035500.00,40.6000,28.3000,0,5.5,0.180,1,0
000213.,1905,1022110900.00,42.9000,23.6000,25,4.6,0.180,1,0
000214.,1905,1023023848.00,41.4000,24.0000,65,5.5,0.140,3,0
000215.,1905,1024043700.00,42.2000,22.0000,19,5.1,0.180,1,0
000216.,1905,1105220000.00,40.7000,23.0000,0,5.1,0.180,1,0
000217.,1905,1108220610.56,39.1136,23.9740,15,7.3,0.160,1,0
000218.,1905,1118001900.00,41.0000,23.0000,0,5.6,0.135,3,0
000219.,1905,1120104200.00,42.5000,18.5000,0,4.6,0.180,1,0
000220.,1905,1205171300.00,36.5000,28.5000,0,5.5,0.180,1,0
000221.,1905,1212000000.00,40.1000,24.3000,0,5.3,0.180,1,0
000222.,1905,1229173500.00,38.3000,20.8000,33,5.1,0.180,1,0
000223.,1906,0115000000.00,38.9000,28.9000,0,5.0,0.180,1,0
000224.,1906,0207013000.00,38.4000,21.0000,0,4.8,0.180,1,0
000225.,1906,0211023000.00,38.4000,21.0000,0,4.8,0.180,1,0
000226.,1906,0301174500.00,41.1000,20.1000,0,5.2,0.180,1,0
000227.,1906,0303214630.00,41.1000,20.0000,0,5.6,0.180,1,0
000228.,1906,0303215600.00,41.0000,20.0000,5,5.5,0.198,2,0
000229.,1906,0313214630.00,41.1000,23.0000,0,5.5,0.180,1,0
000230.,1906,0416094800.00,41.7000,25.3000,20,5.0,0.180,1,0
000231.,1906,0421091500.00,40.8000,20.7000,20,5.0,0.180,1,0
000232.,1906,0423065300.00,41.8000,23.2000,0,5.0,0.180,1,0
000233.,1906,0516050618.00,38.0000,19.3000,0,5.2,0.180,1,0
000234.,1906,0601000000.00,39.2000,26.0000,0,5.1,0.180,1,0
000235.,1906,0617011100.00,35.5000,22.8000,0,5.4,0.180,1,0
000236.,1906,0623065300.00,41.8000,23.2000,9,5.0,0.180,1,0
000237.,1906,0704022000.00,43.0000,18.3000,0,5.5,0.180,1,0
000238.,1906,0704043700.00,42.3000,18.7000,0,5.1,0.180,1,0
000239.,1906,0704065600.00,42.7000,18.2000,25,5.2,0.180,1,0
000240.,1906,0704101200.00,42.7000,18.2000,15,5.5,0.180,1,0
000241.,1906,0705084200.00,42.5000,18.7000,0,4.6,0.180,1,0
000242.,1906,0709034800.00,38.1000,23.1000,0,5.0,0.180,1,0
000243.,1906,0829081100.00,42.7000,18.4000,0,5.2,0.180,1,0
000244.,1906,0917150000.00,41.1000,20.1000,0,4.8,0.180,1,0
000245.,1906,0928023000.00,41.0000,20.8000,0,5.6,0.105,4,0
000246.,1906,0929074000.00,41.0000,20.8000,0,4.8,0.180,1,0
000247.,1906,0929144500.00,41.0000,20.8000,0,4.8,0.180,1,0
000248.,1906,0930000000.00,41.0000,20.8000,0,4.8,0.180,1,0
000249.,1906,1018223500.00,39.5000,23.0000,0,4.9,0.180,1,0
000250.,1906,1117150000.00,41.1000,20.1000,0,4.6,0.180,1,0
000251.,1906,1124164700.00,37.5000,28.0000,0,5.0,0.180,1,0
000252.,1906,1125000000.00,36.9000,28.5000,0,5.0,0.180,1,0
000253.,1906,1129084000.00,41.0000,20.8000,0,4.6,0.180,1,0
000254.,1906,1205200000.00,38.8000,21.0000,0,5.1,0.180,1,0
000255.,1906,1215192100.00,38.4000,20.0000,0,5.3,0.198,2,0
000256.,1907,0105112800.00,42.1000,23.3000,15,4.9,0.180,1,0
000257.,1907,0122023841.00,41.5000,28.5000,0,4.9,0.180,1,0
000258.,1907,0202090454.00,33.0000,18.4000,0,5.8,0.180,1,0
000259.,1907,0211093400.00,42.7000,18.4000,0,4.6,0.180,1,0
000260.,1907,0220031500.00,42.3000,23.7000,0,5.1,0.180,1,0
000261.,1907,0220040000.00,42.3000,23.7000,0,5.0,0.180,1,0
000262.,1907,0310165200.00,38.7000,28.3000,0,5.0,0.180,1,0
000263.,1907,0409053500.00,42.3000,24.0000,17,4.6,0.180,1,0
000264.,1907,0409190000.00,42.2000,26.3000,0,5.0,0.180,1,0
000265.,1907,0415003000.00,38.2000,27.5000,0,5.0,0.180,1,0
000266.,1907,0504233000.00,41.3000,19.5000,0,5.0,0.180,1,0
000267.,1907,0505003000.00,41.3000,19.5000,0,4.7,0.180,1,0
000268.,1907,0505174800.00,42.6000,21.9000,0,4.6,0.180,1,0
000269.,1907,0515233000.00,39.0000,23.5000,0,5.2,0.180,1,0
000270.,1907,0601173130.00,42.0000,19.8000,0,4.7,0.180,1,0
000271.,1907,0621224700.00,38.4000,27.6000,0,5.0,0.180,1,0
000272.,1907,0806152130.00,42.9000,18.4000,0,5.1,0.180,1,0
000273.,1907,0812131500.00,42.5000,21.8000,0,4.6,0.180,1,0
000274.,1907,0813021800.00,42.8000,22.6000,0,5.0,0.180,1,0
000275.,1907,0816130000.00,41.1000,21.2000,0,5.8,0.135,3,0
000276.,1907,0817115200.00,41.4000,22.4000,0,5.0,0.180,1,0
000277.,1907,0917162000.00,42.2000,25.2000,4,4.7,0.180,1,0
000278.,1907,1107015500.00,38.8000,21.2000,0,5.0,0.180,1,0
000279.,1907,1115211400.00,37.8000,29.0000,0,5.4,0.180,1,0
000280.,1908,0104000000.00,38.9000,27.4000,0,5.0,0.180,1,0
000281.,1908,0105214900.00,42.3000,18.8000,0,4.6,0.180,1,0
000282.,1908,0125012830.00,42.2000,18.4000,30,5.1,0.180,1,0
000283.,1908,0125042400.00,42.3000,18.8000,0,5.0,0.180,1,0
000284.,1908,0128165900.00,37.8000,27.1000,0,5.0,0.180,1,0
000285.,1908,0308020000.00,37.8000,27.8000,0,5.3,0.180,1,0
000286.,1908,0412000000.00,38.2000,27.7000,0,5.3,0.180,1,0
000287.,1908,0428171700.00,38.1000,27.8000,0,5.1,0.180,1,0
000288.,1908,0512200000.00,42.0000,19.5000,0,4.8,0.180,1,0
000289.,1908,0517123054.00,35.0000,24.0000,100,6.4,0.108,4,0
000290.,1908,0530150000.00,37.6000,23.4000,150,5.7,0.180,1,0
000291.,1908,0609101800.00,38.2000,22.0000,0,5.0,0.180,1,0
000292.,1908,0612124500.00,37.0000,22.0000,0,4.8,0.180,1,0
000293.,1908,0614042330.00,42.0000,23.0000,0,4.9,0.180,1,0
000294.,1908,0623141800.00,38.4000,27.2000,0,5.3,0.198,2,0
000295.,1908,0623144500.00,38.8000,26.6000,0,5.2,0.198,2,0
000296.,1908,0623160300.00,38.8000,26.6000,0,5.2,0.180,1,0
000297.,1908,0625113200.00,38.8000,26.6000,0,5.0,0.180,1,0
000298.,1908,0628131200.00,38.4000,29.3000,0,5.1,0.180,1,0
000299.,1908,0703014200.00,38.2000,28.0000,0,4.9,0.180,1,0
000300.,1908,0723013000.00,39.0000,22.0000,0,4.8,0.180,1,0
000301.,1908,1116203136.00,41.5000,26.5000,0,4.9,0.180,1,0
000302.,1909,0101214000.00,38.5000,22.0000,0,4.8,0.180,1,0
000303.,1909,0105000000.00,38.4000,28.5000,0,5.1,0.180,1,0
000304.,1909,0119045630.00,38.7000,26.5900,0,5.9,0.135,3,0
000305.,1909,0119195700.00,42.0000,24.5000,0,5.0,0.180,1,0
000306.,1909,0120193900.00,38.3000,20.8000,0,4.8,0.180,1,0
000307.,1909,0120195700.00,39.3000,22.0000,33,5.0,0.180,1,0
000308.,1909,0214222800.00,42.5000,26.5000,10,5.3,0.180,2,0
000309.,1909,0215093400.00,42.5000,26.4000,0,5.9,0.135,3,0
000310.,1909,0215140718.00,42.5000,26.4000,0,5.7,0.180,2,0
000311.,1909,0215151700.00,42.5000,26.4000,0,5.2,0.180,1,0
000312.,1909,0215200000.00,42.5000,26.5000,0,4.8,0.180,1,0
000313.,1909,0216001400.00,42.1000,26.5000,0,5.0,0.180,1,0
000314.,1909,0216025500.00,38.6000,27.0000,0,5.1,0.180,1,0
000315.,1909,0220060000.00,38.6000,26.8000,0,5.0,0.180,1,0
000316.,1909,0301071300.00,42.5000,26.4000,0,4.8,0.180,1,0
000317.,1909,0302201500.00,42.5000,24.3000,0,4.9,0.180,1,0
000318.,1909,0307150100.00,42.2000,24.8000,0,4.9,0.180,1,0
000319.,1909,0308155500.00,37.8000,21.2000,0,5.3,0.198,2,0
000320.,1909,0310163600.00,42.0000,23.0000,0,5.0,0.180,1,0
000321.,1909,0310165600.00,42.0000,25.0000,0,5.1,0.180,1,0
000322.,1909,0310223600.00,41.8000,24.3000,45,5.1,0.180,1,0
000323.,1909,0310223600.00,41.8000,24.3000,0,5.1,0.180,1,0
000324.,1909,0310225000.00,41.2000,22.7000,0,4.3,0.180,1,0
000325.,1909,0310234500.00,41.2000,22.7000,0,5.0,0.180,1,0
000326.,1909,0311000500.00,42.3000,22.3000,0,4.5,0.180,1,0
000327.,1909,0311020200.00,42.6000,24.5000,0,4.9,0.180,1,0
000328.,1909,0312185900.00,42.8000,25.0000,0,4.6,0.180,1,0
000329.,1909,0401001800.00,42.0000,24.0000,0,5.0,0.180,1,0
000330.,1909,0401020400.00,42.0000,24.0000,0,4.9,0.180,1,0
000331.,1909,0403015500.00,39.4000,23.0000,0,5.0,0.180,1,0
000332.,1909,0405110100.00,38.2000,22.1000,0,5.2,0.180,1,0
000333.,1909,0415184900.00,42.0000,24.0000,0,4.7,0.180,1,0
000334.,1909,0418025000.00,38.5000,22.3000,0,5.1,0.180,1,0
000335.,1909,0425023400.00,42.0000,24.0000,0,4.8,0.180,1,0
000336.,1909,0530061430.00,38.2000,22.2000,20,6.0,0.105,4,0
000337.,1909,0609013316.00,42.6000,26.3000,0,4.6,0.180,1,0
000338.,1909,0613091530.00,38.3000,22.0000,0,5.5,0.135,3,0
000339.,1909,0615233100.00,39.2000,22.2000,0,5.6,0.135,3,0
000340.,1909,0619174554.00,40.5000,26.2000,0,5.4,0.180,1,0
000341.,1909,0706054800.00,41.9000,24.7000,0,5.3,0.180,1,0
000342.,1909,0715003442.00,37.9000,21.5000,3,5.7,0.135,3,0
000343.,1909,0814030000.00,41.0000,28.2000,0,5.0,0.180,1,0
000344.,1909,0919215300.00,41.9000,24.7000,0,5.2,0.180,1,0
000345.,1909,0922034800.00,37.8000,24.3000,14,5.0,0.180,1,0
000346.,1909,1029160400.00,40.5000,29.5000,0,5.4,0.198,2,0
000347.,1909,1029173800.00,40.3000,29.6000,0,5.6,0.180,1,0
000348.,1910,0218050918.00,36.0000,24.5000,150,6.7,0.122,3,0
000349.,1910,0219190500.00,42.7000,23.2000,4,4.7,0.180,1,0
000350.,1910,0220033300.00,42.6000,23.2000,0,4.3,0.180,1,0
000351.,1910,0223075200.00,41.7000,23.4000,12,5.2,0.198,2,0
000352.,1910,0310171500.00,42.6000,26.4000,0,4.3,0.180,1,0
000353.,1910,0322020600.00,41.2000,22.0000,0,5.2,0.180,1,0
000354.,1910,0329160900.00,42.6000,23.2000,0,4.6,0.180,1,0
000355.,1910,0406013600.00,42.1000,23.2000,8,5.0,0.180,1,0
000356.,1910,0406014700.00,42.6000,21.9000,0,4.6,0.180,1,0
000357.,1910,0603042800.00,36.3000,23.0000,100,5.2,0.180,1,0
000358.,1910,0612203642.00,35.5000,27.0000,0,5.2,0.180,1,0
000359.,1910,0714023500.00,38.8600,27.8400,0,4.8,0.180,1,0
000360.,1910,0727145100.00,38.9000,27.9000,0,5.2,0.180,1,0
000361.,1910,0802023309.00,37.0000,21.0000,0,5.1,0.198,2,0
000362.,1910,0807214500.00,37.8000,28.7000,30,5.4,0.180,1,0
000363.,1910,0821161130.00,34.0000,27.0000,170,5.8,0.134,3,0
000365.,1910,1121213200.00,43.0000,18.7000,0,4.6,0.180,1,0
000366.,1910,1219042900.00,42.1000,21.3000,6,4.9,0.180,1,0
000367.,1910,1220043700.00,41.0000,21.4000,0,4.6,0.180,1,0
000368.,1910,1227035430.00,37.9000,21.2000,0,5.6,0.180,2,0
